Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Years,Loan_Status,Default_Flag,Loan_Start_Date
700033,103918,Mortgage,415938,9.69,30,Paid Off,0,2024-08-10
700034,138478,Auto Loan,36097,9.63,5,Paid Off,0,2024-07-30
700035,121123,Mortgage,258353,7.32,30,Paid Off,0,2026-04-25
700036,149717,Auto Loan,36673,8.44,3,Paid Off,0,2024-09-06
700037,142294,Mortgage,304108,4.74,30,Paid Off,0,2023-04-14
700038,147609,Personal Loan,11724,9.32,1,Paid Off,0,2025-11-22
700039,111076,Business Loan,203869,3.98,5,Paid Off,0,2024-01-16
700040,141514,Auto Loan,21502,8.48,6,Active,0,2025-01-31
700041,122062,Auto Loan,17171,4.2,5,Active,0,2021-11-23
700042,109413,Mortgage,513048,6.39,30,Paid Off,0,2024-04-29
700043,138340,Mortgage,401573,5.99,30,Paid Off,0,2024-07-17
700044,130263,Auto Loan,17365,6.75,5,Active,0,2022-04-24
700045,141252,Auto Loan,58667,11.18,6,Paid Off,0,2026-04-08
700046,114644,Business Loan,240423,5.48,10,Active,0,2022-01-15
700047,126335,Auto Loan,46239,10.2,5,Active,0,2021-12-11
700048,128102,Business Loan,191237,6.19,5,Active,0,2024-12-03
700049,117523,Auto Loan,31450,6.56,3,Active,0,2025-02-06
700050,124712,Auto Loan,47646,6.5,6,Paid Off,0,2026-04-04
700051,140485,Personal Loan,11603,4.47,1,Paid Off,0,2025-05-06
700052,103850,Personal Loan,17520,7.01,5,Active,0,2025-03-29
700053,140040,Mortgage,352651,6.6,30,Paid Off,0,2022-02-26
700054,115267,Auto Loan,20864,6.09,6,Active,0,2023-06-02
700055,149146,Personal Loan,18106,6.69,3,Active,0,2025-06-09
700056,130001,Personal Loan,5521,10.12,5,Active,0,2026-06-27
700057,145926,Personal Loan,23313,4.05,3,Active,0,2025-11-11
700058,143824,Personal Loan,19528,6.48,3,Paid Off,0,2022-05-28
700059,117240,Personal Loan,3151,5.18,3,Defaulted,1,2026-05-18
700060,104892,Personal Loan,20594,10.74,5,Paid Off,0,2024-12-28
700061,100725,Auto Loan,41396,5.39,3,Active,0,2023-03-17
700062,122949,Personal Loan,22651,4.64,1,Paid Off,0,2023-01-11
700063,134657,Personal Loan,22859,4.31,1,Active,0,2024-01-31
700064,137213,Mortgage,278473,6.4,30,Active,0,2023-10-21
700065,120304,Mortgage,153327,6.95,30,Paid Off,0,2023-07-13
700066,115269,Personal Loan,15077,5.77,5,Active,0,2021-11-06
700067,122367,Business Loan,201942,5.2,10,Active,0,2021-08-23
700068,142684,Business Loan,234179,11.63,10,Paid Off,0,2026-03-12
700069,146734,Mortgage,533937,4.27,30,Paid Off,0,2023-06-05
700070,111732,Personal Loan,24505,6.51,3,Paid Off,0,2026-04-01
700071,118619,Mortgage,297168,5.96,30,Paid Off,0,2022-01-12
700072,148492,Business Loan,50601,5.41,10,Active,0,2021-08-16
700073,126803,Mortgage,203495,6.57,30,Paid Off,0,2023-06-05
700074,144305,Mortgage,390145,3.81,30,Active,0,2025-11-02
700075,147522,Auto Loan,56608,4.47,3,Active,0,2023-05-10
700076,132207,Business Loan,243681,5.39,5,Paid Off,0,2023-03-26
700077,102530,Personal Loan,16325,6.95,5,Paid Off,0,2023-08-03
700078,117746,Mortgage,246153,4.37,30,Active,0,2025-11-17
700079,108270,Auto Loan,57313,3.66,5,Paid Off,0,2022-11-29
700080,115079,Mortgage,466218,6.94,30,Defaulted,1,2024-12-06
700081,113624,Business Loan,137978,5.33,5,Paid Off,0,2021-12-03
700082,130638,Personal Loan,2499,3.95,5,Paid Off,0,2021-08-16
700083,130440,Auto Loan,32642,6.17,6,Paid Off,0,2022-04-25
700084,136056,Personal Loan,8027,6.81,5,Paid Off,0,2021-09-03
700085,142651,Personal Loan,21078,5.39,3,Paid Off,0,2023-11-03
700086,136803,Business Loan,112689,6.18,5,Defaulted,1,2023-05-15
700087,148224,Business Loan,152144,6.98,10,Active,0,2026-06-24
700088,129226,Personal Loan,7694,6.93,3,Paid Off,0,2022-02-06
700089,105633,Mortgage,514025,4.98,30,Paid Off,0,2024-03-13
700090,105987,Auto Loan,24879,10.11,5,Active,0,2024-01-02
700091,148063,Mortgage,384524,11.93,30,Paid Off,0,2023-03-01
700092,101812,Personal Loan,22393,3.68,3,Paid Off,0,2025-05-17
700093,127578,Mortgage,518360,6.49,30,Paid Off,0,2023-11-14
700094,116823,Mortgage,551641,6.82,30,Paid Off,0,2023-12-30
700095,103928,Mortgage,553605,3.59,30,Active,0,2026-02-11
700096,137286,Mortgage,593042,5.25,30,Paid Off,0,2021-11-21
700097,125045,Personal Loan,13750,5.56,5,Active,0,2023-04-20
700098,115727,Mortgage,236769,9.02,30,Active,0,2021-08-20
700099,129600,Business Loan,89683,5.26,10,Active,0,2022-05-09
700100,110430,Mortgage,387401,9.73,30,Active,0,2026-02-04
700101,125768,Auto Loan,15940,4.16,5,Active,0,2025-07-10
700102,129103,Auto Loan,31347,3.65,3,Paid Off,0,2023-11-14
700103,136537,Auto Loan,16004,6.17,3,Paid Off,0,2025-07-24
700104,139328,Mortgage,173424,6.63,30,Defaulted,1,2024-10-02
700105,135539,Auto Loan,53843,7.37,5,Active,0,2026-01-16
700106,128075,Mortgage,191169,10.54,30,Paid Off,0,2022-09-21
700107,117840,Auto Loan,17108,11.0,5,Paid Off,0,2022-01-26
700108,127802,Auto Loan,34580,6.08,3,Paid Off,0,2022-07-05
700109,107682,Business Loan,240547,10.66,5,Active,0,2023-09-21
700110,124279,Business Loan,155369,5.31,10,Paid Off,0,2024-07-21
700111,133070,Business Loan,186768,3.95,5,Paid Off,0,2023-10-22
700112,135557,Auto Loan,50751,11.22,5,Active,0,2024-09-18
700113,137189,Auto Loan,55870,4.1,5,Active,0,2025-04-05
700114,147149,Personal Loan,2787,5.46,1,Active,0,2022-09-02
700115,146915,Auto Loan,50983,3.77,3,Active,0,2025-12-13
700116,109801,Auto Loan,13077,4.26,5,Active,0,2022-09-08
700117,138800,Mortgage,446117,6.17,30,Active,0,2026-06-13
700118,124669,Auto Loan,25603,4.38,5,Paid Off,0,2025-10-12
700119,144233,Auto Loan,56375,4.56,3,Defaulted,1,2022-08-28
700120,131919,Personal Loan,13588,7.32,1,Paid Off,0,2024-10-16
700121,107134,Mortgage,390164,3.57,30,Active,0,2024-10-29
700122,133704,Auto Loan,13854,11.03,5,Active,0,2021-07-23
700123,129660,Mortgage,181326,6.43,30,Active,0,2022-10-16
700124,117893,Mortgage,384245,7.6,30,Paid Off,0,2025-09-05
700125,122018,Mortgage,324083,4.25,30,Active,0,2026-03-02
700126,113538,Personal Loan,17798,5.92,3,Paid Off,0,2023-02-06
700127,143118,Personal Loan,3129,5.15,1,Active,0,2024-08-14
700128,136420,Mortgage,281582,4.5,30,Active,0,2024-05-16
700129,109405,Personal Loan,7247,5.98,5,Paid Off,0,2023-07-04
700130,113413,Business Loan,234981,4.16,10,Paid Off,0,2023-02-03
700131,106720,Mortgage,416833,8.03,30,Active,0,2023-09-01
700132,115601,Business Loan,44124,3.89,10,Active,0,2026-06-02
700133,144743,Business Loan,75030,7.04,10,Active,0,2023-03-04
700134,131138,Personal Loan,24912,11.84,5,Active,0,2021-09-22
700135,102729,Business Loan,28956,6.13,10,Paid Off,0,2025-02-22
700136,138242,Mortgage,450080,9.51,30,Active,0,2025-11-14
700137,129625,Personal Loan,22591,6.1,5,Active,0,2022-02-01
700138,147894,Auto Loan,17866,5.57,6,Active,0,2024-05-04
700139,142090,Personal Loan,4666,4.27,3,Paid Off,0,2025-03-31
700140,136399,Auto Loan,20250,5.07,6,Active,0,2022-02-19
700141,106244,Auto Loan,24662,4.74,3,Paid Off,0,2022-04-17
700142,105545,Auto Loan,15402,4.75,5,Paid Off,0,2025-10-16
700143,104064,Auto Loan,54999,10.54,6,Defaulted,1,2023-04-09
700144,112851,Business Loan,135727,4.1,5,Paid Off,0,2022-01-19
700145,121802,Personal Loan,20498,5.84,3,Paid Off,0,2022-03-17
700146,141163,Personal Loan,14713,6.36,1,Paid Off,0,2025-02-26
700147,106232,Mortgage,587965,10.53,30,Active,0,2022-02-08
700148,103862,Auto Loan,18670,6.45,3,Paid Off,0,2023-08-25
700149,135094,Auto Loan,12589,5.66,6,Paid Off,0,2023-06-02
700150,140195,Personal Loan,7569,9.2,5,Active,0,2022-04-30
700151,139250,Business Loan,129251,5.05,5,Active,0,2022-12-20
700152,106217,Personal Loan,3401,11.49,1,Active,0,2022-09-30
700153,136775,Personal Loan,20578,3.65,1,Defaulted,1,2026-01-27
700154,142976,Auto Loan,53378,5.06,6,Paid Off,0,2022-06-15
700155,148467,Business Loan,158558,4.23,10,Active,0,2026-03-13
700156,114831,Mortgage,151457,6.81,30,Defaulted,1,2022-11-17
700157,130092,Business Loan,172541,3.56,10,Defaulted,1,2026-04-09
700158,108893,Business Loan,101915,4.56,5,Paid Off,0,2022-11-28
700159,106020,Business Loan,146186,5.6,10,Active,0,2022-05-21
700160,146088,Business Loan,62744,4.1,10,Active,0,2024-12-24
700161,115242,Business Loan,122260,6.7,10,Paid Off,0,2024-09-07
700162,145307,Business Loan,234666,8.83,10,Active,0,2024-09-30
700163,126550,Mortgage,278759,5.66,30,Paid Off,0,2022-01-07
700164,106034,Auto Loan,39208,8.27,5,Active,0,2022-07-11
700165,107905,Auto Loan,42124,7.92,5,Active,0,2025-04-01
700166,132225,Mortgage,509981,9.56,30,Active,0,2023-07-05
700167,106017,Auto Loan,32378,9.75,6,Paid Off,0,2022-03-08
700168,121879,Auto Loan,42140,3.51,5,Active,0,2021-10-05
700169,102791,Auto Loan,51461,8.4,6,Active,0,2021-10-12
700170,142605,Auto Loan,52888,4.42,5,Paid Off,0,2024-11-04
700171,105823,Mortgage,518130,7.22,30,Defaulted,1,2025-06-13
700172,115387,Auto Loan,10842,7.17,5,Active,0,2025-08-16
700173,129561,Business Loan,42943,11.53,10,Paid Off,0,2022-01-29
700174,139475,Personal Loan,12927,6.03,5,Paid Off,0,2021-10-23
700175,100292,Business Loan,183671,5.03,5,Paid Off,0,2024-06-29
700176,116957,Business Loan,26518,6.88,10,Paid Off,0,2023-12-14
700177,130860,Personal Loan,11609,6.78,5,Active,0,2022-12-15
700178,114073,Personal Loan,10760,3.98,1,Active,0,2025-09-29
700179,121856,Personal Loan,7835,3.52,5,Paid Off,0,2024-05-07
700180,122079,Business Loan,209106,6.11,5,Paid Off,0,2024-03-04
700181,117023,Business Loan,39808,4.49,5,Active,0,2026-04-06
700182,108739,Mortgage,545533,5.96,30,Paid Off,0,2025-09-23
700183,115825,Mortgage,166087,6.93,30,Active,0,2024-05-04
700184,102741,Business Loan,211858,6.11,5,Active,0,2022-07-15
700185,118048,Mortgage,434693,5.51,30,Active,0,2025-01-29
700186,149936,Mortgage,381881,3.87,30,Active,0,2025-05-20
700187,117372,Auto Loan,50230,7.09,6,Paid Off,0,2022-06-05
700188,122021,Personal Loan,21005,6.76,1,Paid Off,0,2022-09-03
700189,146364,Auto Loan,17955,10.21,6,Paid Off,0,2023-05-29
700190,123537,Personal Loan,3796,10.33,1,Paid Off,0,2024-06-08
700191,145499,Mortgage,273449,5.08,30,Paid Off,0,2022-04-28
700192,140185,Mortgage,490475,6.38,30,Active,0,2025-08-31
700193,109613,Personal Loan,24165,6.93,3,Active,0,2025-08-01
700194,143281,Mortgage,181829,5.3,30,Paid Off,0,2024-07-19
700195,137891,Business Loan,134153,6.14,5,Paid Off,0,2022-12-31
700196,126178,Business Loan,66025,4.08,10,Active,0,2023-06-18
700197,145892,Auto Loan,51982,7.43,3,Active,0,2023-10-24
700198,120933,Auto Loan,24177,7.89,5,Paid Off,0,2024-05-16
700199,140971,Personal Loan,12536,5.58,5,Active,0,2026-04-30
700200,122224,Auto Loan,35229,10.71,6,Paid Off,0,2024-12-26
700201,124381,Mortgage,288949,6.57,30,Paid Off,0,2021-09-10
700202,134855,Personal Loan,1098,5.57,5,Paid Off,0,2023-02-07
700203,148577,Auto Loan,27129,3.68,3,Paid Off,0,2023-06-08
700204,138536,Business Loan,124932,3.74,5,Paid Off,0,2022-08-10
700205,131755,Mortgage,466281,5.1,30,Paid Off,0,2022-02-23
700206,107753,Mortgage,388074,6.83,30,Active,0,2023-11-10
700207,146638,Mortgage,248449,4.65,30,Paid Off,0,2025-09-18
700208,143834,Auto Loan,13969,10.46,3,Paid Off,0,2024-09-05
700209,126235,Personal Loan,17311,6.17,3,Paid Off,0,2022-04-17
700210,144229,Mortgage,311740,3.79,30,Paid Off,0,2022-02-25
700211,149596,Personal Loan,8761,4.5,5,Active,0,2026-01-14
700212,118552,Auto Loan,36101,6.56,5,Paid Off,0,2025-08-08
700213,143136,Mortgage,328025,6.23,30,Active,0,2021-08-09
700214,136672,Personal Loan,8579,5.54,5,Paid Off,0,2024-10-30
700215,143649,Mortgage,353565,3.98,30,Active,0,2024-01-15
700216,103940,Personal Loan,5199,6.84,5,Paid Off,0,2026-04-03
700217,131496,Business Loan,207207,9.29,10,Active,0,2022-08-12
700218,126593,Mortgage,168190,4.96,30,Paid Off,0,2026-04-15
700219,123921,Auto Loan,10753,5.82,5,Active,0,2025-01-06
700220,126402,Business Loan,108676,10.78,5,Active,0,2025-06-17
700221,145942,Mortgage,411803,3.56,30,Paid Off,0,2025-11-27
700222,148525,Mortgage,425182,7.33,30,Paid Off,0,2023-09-09
700223,118315,Personal Loan,2128,4.58,5,Paid Off,0,2021-10-09
700224,136893,Mortgage,488497,4.93,30,Paid Off,0,2025-06-13
700225,126695,Mortgage,414688,4.01,30,Active,0,2024-06-03
700226,142127,Auto Loan,28194,6.02,6,Paid Off,0,2021-10-16
700227,114170,Auto Loan,26591,11.87,5,Paid Off,0,2022-03-11
700228,103732,Personal Loan,17440,9.83,1,Paid Off,0,2021-09-15
700229,107881,Personal Loan,16876,5.3,1,Active,0,2023-01-16
700230,106016,Personal Loan,10812,4.14,1,Paid Off,0,2023-04-12
700231,123029,Mortgage,405946,6.44,30,Paid Off,0,2022-01-24
700232,135473,Auto Loan,16875,10.24,6,Paid Off,0,2025-01-16
700233,149685,Auto Loan,29358,6.87,5,Defaulted,1,2026-07-12
700234,104817,Mortgage,489775,4.71,30,Active,0,2022-05-31
700235,141693,Mortgage,579186,4.23,30,Active,0,2025-06-03
700236,112007,Business Loan,248548,5.84,5,Paid Off,0,2025-11-12
700237,141327,Personal Loan,19620,5.71,5,Paid Off,0,2023-02-12
700238,109506,Mortgage,443344,5.47,30,Active,0,2024-02-23
700239,144798,Mortgage,590353,9.97,30,Active,0,2025-11-03
700240,134062,Auto Loan,44393,11.56,3,Paid Off,0,2022-09-16
700241,127474,Business Loan,209260,5.45,10,Active,0,2026-02-16
700242,131143,Auto Loan,20634,5.91,6,Paid Off,0,2022-09-03
700243,121235,Auto Loan,40393,7.14,5,Active,0,2021-11-10
700244,101390,Business Loan,169977,4.79,10,Paid Off,0,2026-06-17
700245,138249,Mortgage,271028,5.85,30,Active,0,2024-07-02
700246,137624,Business Loan,82359,6.58,5,Paid Off,0,2023-04-09
700247,142028,Business Loan,88968,4.69,10,Paid Off,0,2024-12-10
700248,120834,Business Loan,223099,4.97,5,Active,0,2022-02-12
700249,114757,Mortgage,555922,8.21,30,Paid Off,0,2023-11-29
700250,126396,Personal Loan,23092,6.96,5,Active,0,2023-11-07
700251,106808,Auto Loan,37609,8.21,6,Paid Off,0,2022-08-21
700252,109225,Auto Loan,55897,11.49,3,Active,0,2022-05-27
700253,148394,Personal Loan,20985,6.69,1,Active,0,2024-08-11
700254,105395,Personal Loan,17206,7.39,5,Defaulted,1,2024-01-13
700255,106943,Personal Loan,3461,5.36,3,Paid Off,0,2023-12-29
700256,123870,Auto Loan,17872,7.14,5,Active,0,2024-09-04
700257,132492,Business Loan,208347,5.38,10,Paid Off,0,2025-03-15
700258,136345,Personal Loan,12987,6.12,3,Active,0,2024-08-26
700259,110755,Personal Loan,21225,3.96,1,Paid Off,0,2024-01-16
700260,112301,Mortgage,237433,7.65,30,Paid Off,0,2023-06-29
700261,148386,Mortgage,517315,10.52,30,Paid Off,0,2024-01-04
700262,142745,Business Loan,145396,7.22,10,Paid Off,0,2024-03-11
700263,129089,Mortgage,546530,6.99,30,Active,0,2022-05-05
700264,144712,Business Loan,200759,3.93,10,Active,0,2026-02-08
700265,114343,Auto Loan,21545,11.53,3,Active,0,2022-12-03
700266,138172,Personal Loan,3234,4.39,3,Active,0,2024-06-20
700267,105071,Auto Loan,30260,6.64,3,Active,0,2023-10-21
700268,124121,Personal Loan,6464,8.75,3,Active,0,2022-08-14
700269,148809,Mortgage,343550,6.67,30,Active,0,2025-11-03
700270,117820,Mortgage,371384,9.95,30,Paid Off,0,2023-05-16
700271,101122,Personal Loan,3276,4.35,5,Paid Off,0,2026-05-31
700272,111264,Business Loan,230889,8.47,5,Active,0,2021-08-02
700273,130579,Auto Loan,32853,5.99,3,Active,0,2024-10-11
700274,145464,Auto Loan,20608,3.85,5,Active,0,2022-12-02
700275,148216,Auto Loan,20329,4.07,6,Active,0,2021-11-26
700276,143044,Personal Loan,22623,4.13,1,Paid Off,0,2021-08-02
700277,115656,Personal Loan,21702,11.31,3,Active,0,2023-01-20
700278,101900,Mortgage,250527,7.86,30,Active,0,2022-10-23
700279,100147,Mortgage,240314,9.62,30,Paid Off,0,2023-07-01
700280,129642,Personal Loan,19406,6.98,3,Paid Off,0,2023-06-25
700281,103211,Mortgage,155880,5.03,30,Paid Off,0,2023-02-10
700282,143850,Auto Loan,42616,7.38,6,Paid Off,0,2024-08-13
700283,102354,Personal Loan,23523,5.7,3,Active,0,2022-03-17
700284,131520,Business Loan,124105,4.44,5,Paid Off,0,2026-05-08
700285,142583,Personal Loan,21003,8.8,5,Paid Off,0,2024-02-07
700286,143337,Personal Loan,14382,10.6,5,Paid Off,0,2024-03-29
700287,145284,Personal Loan,1246,5.64,3,Paid Off,0,2026-07-16
700288,146956,Auto Loan,44657,4.08,5,Active,0,2025-05-09
700289,148790,Business Loan,232985,8.02,10,Paid Off,0,2022-07-09
700290,136585,Business Loan,186417,4.62,5,Paid Off,0,2026-05-09
700291,110465,Business Loan,42197,6.65,5,Active,0,2023-11-12
700292,107821,Mortgage,185754,8.1,30,Active,0,2023-12-23
700293,107205,Personal Loan,9330,4.6,1,Defaulted,1,2022-09-15
700294,106413,Business Loan,125882,6.57,10,Paid Off,0,2024-01-07
700295,134046,Mortgage,571500,10.03,30,Active,0,2022-03-13
700296,112728,Mortgage,394340,10.24,30,Paid Off,0,2026-01-17
700297,106925,Auto Loan,37265,3.83,6,Paid Off,0,2022-01-27
700298,127995,Business Loan,99050,5.44,10,Active,0,2022-01-26
700299,137612,Mortgage,185333,4.4,30,Paid Off,0,2021-11-02
700300,139483,Mortgage,232793,6.12,30,Paid Off,0,2025-05-29
700301,103016,Mortgage,476995,5.57,30,Active,0,2026-07-16
700302,101640,Personal Loan,2100,11.1,5,Paid Off,0,2022-07-03
700303,108883,Mortgage,356026,3.93,30,Paid Off,0,2023-04-05
700304,137601,Auto Loan,56830,11.04,5,Paid Off,0,2023-01-13
700305,112969,Personal Loan,5967,11.65,3,Active,0,2022-03-03
700306,123463,Business Loan,112895,4.39,10,Paid Off,0,2025-01-27
700307,115757,Mortgage,350901,5.83,30,Active,0,2024-12-14
700308,144076,Business Loan,40218,9.01,10,Paid Off,0,2026-05-13
700309,104086,Personal Loan,13693,4.47,5,Defaulted,1,2023-04-06
700310,100508,Personal Loan,16023,11.54,5,Paid Off,0,2026-01-07
700311,106354,Mortgage,279725,6.53,30,Paid Off,0,2024-03-04
700312,129644,Personal Loan,3936,6.35,3,Active,0,2021-07-25
700313,120815,Auto Loan,15911,10.29,3,Paid Off,0,2025-06-04
700314,106234,Business Loan,241304,3.97,5,Paid Off,0,2023-09-29
700315,131989,Auto Loan,10591,4.09,3,Active,0,2024-07-17
700316,112995,Mortgage,301448,4.55,30,Paid Off,0,2023-09-19
700317,142501,Auto Loan,32473,6.77,6,Paid Off,0,2024-10-29
700318,138920,Personal Loan,20523,8.34,5,Active,0,2024-11-29
700319,100262,Business Loan,66897,6.94,10,Active,0,2023-10-22
700320,107891,Personal Loan,8725,10.68,3,Active,0,2021-12-28
700321,110527,Auto Loan,40733,8.13,3,Paid Off,0,2025-01-02
700322,118600,Auto Loan,18680,5.67,3,Active,0,2024-12-18
700323,124114,Auto Loan,32940,7.16,6,Paid Off,0,2023-06-03
700324,133498,Business Loan,137491,6.1,5,Active,0,2025-10-17
700325,113471,Personal Loan,8928,4.33,3,Active,0,2022-11-20
700326,131725,Business Loan,35518,7.97,10,Active,0,2023-05-22
700327,123690,Mortgage,158153,4.06,30,Active,0,2025-10-28
700328,110557,Auto Loan,10540,4.81,6,Paid Off,0,2025-08-30
700329,106556,Mortgage,332011,8.57,30,Paid Off,0,2026-02-15
700330,145577,Mortgage,170924,8.1,30,Defaulted,1,2021-11-15
700331,141503,Auto Loan,40422,5.1,3,Active,0,2022-12-17
700332,127872,Auto Loan,44545,5.75,5,Paid Off,0,2022-05-05
700333,110810,Auto Loan,51948,6.69,3,Active,0,2023-10-24
700334,138214,Business Loan,41686,3.75,5,Active,0,2024-08-31
700335,111730,Auto Loan,39701,4.59,6,Paid Off,0,2025-12-10
700336,127438,Auto Loan,27166,5.99,3,Paid Off,0,2026-01-19
700337,121779,Business Loan,99565,9.15,5,Paid Off,0,2026-05-20
700338,134079,Business Loan,108053,4.49,5,Active,0,2022-06-21
700339,122915,Mortgage,359573,11.12,30,Paid Off,0,2022-02-24
700340,108085,Business Loan,124706,6.32,10,Paid Off,0,2024-05-19
700341,143467,Business Loan,101017,5.28,10,Paid Off,0,2025-01-11
700342,114709,Mortgage,384781,3.64,30,Active,0,2021-10-30
700343,115466,Business Loan,39813,6.58,5,Paid Off,0,2026-02-10
700344,137172,Personal Loan,20472,10.74,1,Paid Off,0,2026-04-13
700345,128748,Auto Loan,17234,10.6,6,Defaulted,1,2025-06-29
700346,103104,Auto Loan,41993,5.29,3,Paid Off,0,2024-03-02
700347,100708,Auto Loan,51269,6.73,3,Paid Off,0,2025-01-13
700348,138385,Business Loan,82568,5.78,5,Paid Off,0,2024-10-23
700349,123444,Auto Loan,33120,4.81,5,Paid Off,0,2024-05-30
700350,126510,Mortgage,356567,5.32,30,Paid Off,0,2023-11-17
700351,108466,Mortgage,552689,5.46,30,Active,0,2023-08-08
700352,106230,Personal Loan,3019,5.45,3,Active,0,2021-09-09
700353,146358,Auto Loan,34715,5.6,5,Active,0,2023-04-23
700354,139357,Mortgage,157080,6.55,30,Active,0,2024-10-21
700355,116386,Business Loan,64188,7.55,10,Defaulted,1,2022-02-24
700356,134165,Mortgage,186106,6.96,30,Active,0,2023-06-13
700357,104168,Auto Loan,24351,4.88,6,Active,0,2023-10-26
700358,105803,Auto Loan,20210,5.17,5,Active,0,2021-10-17
700359,112753,Auto Loan,28406,9.89,3,Active,0,2025-03-18
700360,102189,Mortgage,225500,6.55,30,Paid Off,0,2025-05-18
700361,112187,Auto Loan,52480,7.17,3,Active,0,2026-02-20
700362,131727,Personal Loan,8691,9.9,5,Active,0,2023-11-30
700363,119245,Business Loan,153902,5.87,5,Paid Off,0,2025-04-07
700364,137866,Business Loan,160692,6.43,10,Defaulted,1,2026-07-04
700365,143514,Personal Loan,10215,4.38,1,Active,0,2025-09-23
700366,108718,Business Loan,109603,10.08,5,Paid Off,0,2024-06-19
700367,128824,Auto Loan,27462,11.08,5,Active,0,2024-01-26
700368,124468,Business Loan,226743,3.58,10,Active,0,2022-11-11
700369,148252,Auto Loan,19301,5.58,6,Paid Off,0,2025-04-30
700370,107201,Auto Loan,36288,9.11,5,Active,0,2025-11-04
700371,109282,Auto Loan,42748,6.08,3,Defaulted,1,2026-01-30
700372,126820,Mortgage,292457,3.7,30,Active,0,2022-11-15
700373,127373,Personal Loan,2618,4.63,5,Active,0,2022-04-19
700374,122492,Auto Loan,23208,6.42,6,Paid Off,0,2022-09-26
700375,145637,Auto Loan,22413,6.31,3,Active,0,2021-10-29
700376,145879,Auto Loan,22903,9.06,3,Active,0,2024-12-18
700377,129339,Auto Loan,40866,5.57,5,Paid Off,0,2022-03-21
700378,146547,Auto Loan,20163,5.43,3,Active,0,2023-08-18
700379,110803,Personal Loan,23059,5.56,1,Paid Off,0,2024-08-06
700380,120964,Personal Loan,11158,4.96,1,Paid Off,0,2024-10-23
700381,130032,Mortgage,542120,9.91,30,Paid Off,0,2021-12-29
700382,105222,Auto Loan,22055,4.88,3,Active,0,2024-04-10
700383,100659,Auto Loan,26153,4.15,5,Paid Off,0,2026-01-25
700384,133245,Business Loan,220068,6.87,5,Active,0,2024-02-27
700385,105865,Personal Loan,7973,5.27,1,Paid Off,0,2021-07-24
700386,148871,Personal Loan,2733,6.13,3,Paid Off,0,2023-10-16
700387,122985,Mortgage,549554,9.27,30,Paid Off,0,2021-07-17
700388,128880,Mortgage,506505,4.98,30,Paid Off,0,2025-09-27
700389,147087,Auto Loan,57401,6.92,6,Paid Off,0,2022-10-17
700390,126527,Personal Loan,22159,7.73,1,Active,0,2022-11-16
700391,109647,Auto Loan,13519,10.42,6,Paid Off,0,2025-04-29
700392,149545,Auto Loan,38339,5.03,5,Paid Off,0,2022-11-03
