Account_ID,Customer_ID,Account_Type,Balance,Open_Date
500163,100086,Checking,14703,2020-09-05
500164,100086,Savings,99732,2021-04-25
500165,100086,Certificate of Deposit,228581,2021-04-06
500166,100087,Checking,3409,2024-01-31
500167,100088,Checking,501,2025-07-10
500168,100088,Savings,46607,2025-11-14
500169,100089,Checking,8783,2024-10-17
500170,100090,Checking,11459,2021-09-03
500171,100090,Savings,47627,2023-02-05
500172,100091,Checking,13817,2024-05-28
500173,100091,Savings,68697,2024-04-02
500174,100092,Checking,14614,2023-07-30
500175,100093,Checking,10988,2020-06-05
500176,100093,Savings,172013,2025-05-22
500177,100094,Checking,11709,2024-10-05
500178,100095,Checking,2535,2022-03-09
500179,100095,Savings,28434,2025-07-15
500180,100096,Checking,9937,2020-04-16
500181,100096,Savings,186009,2025-05-22
500182,100097,Checking,13032,2024-03-28
500183,100097,Savings,91995,2022-01-09
500184,100097,Certificate of Deposit,89143,2022-07-17
500185,100098,Checking,8231,2021-08-17
500186,100098,Savings,139782,2026-06-23
500187,100099,Checking,13947,2026-01-17
500188,100099,Savings,135221,2025-09-21
500189,100100,Checking,9795,2025-09-07
500190,100100,Savings,31147,2026-03-29
500191,100100,Certificate of Deposit,293737,2026-04-14
500192,100101,Checking,12273,2021-10-26
500193,100101,Savings,16256,2023-02-10
500194,100102,Checking,13186,2023-09-17
500195,100103,Checking,6772,2024-12-17
500196,100103,Savings,74844,2026-04-01
500197,100104,Checking,9399,2023-03-04
500198,100104,Savings,34180,2023-03-28
500199,100105,Checking,11698,2023-04-05
500200,100105,Savings,112109,2021-05-04
500201,100106,Checking,8173,2024-04-27
500202,100106,Savings,78365,2023-10-05
500203,100107,Checking,8478,2024-03-12
500204,100107,Savings,159725,2026-03-24
500205,100108,Checking,3130,2026-01-08
500206,100108,Savings,164469,2026-04-30
500207,100109,Checking,8420,2026-01-16
500208,100110,Checking,2262,2023-07-04
500209,100111,Checking,9066,2021-08-12
500210,100112,Checking,10196,2025-02-05
500211,100113,Checking,12474,2025-03-01
500212,100113,Savings,90959,2021-12-28
500213,100114,Checking,9508,2024-07-13
500214,100114,Savings,56487,2025-01-07
500215,100115,Checking,11660,2025-12-08
500216,100116,Checking,6570,2026-07-01
500217,100116,Certificate of Deposit,221789,2025-07-12
500218,100117,Checking,12447,2025-05-03
500219,100117,Savings,34301,2026-03-27
500220,100118,Checking,2222,2019-08-16
500221,100118,Savings,11738,2019-05-01
500222,100119,Checking,9198,2026-05-27
500223,100120,Checking,9155,2020-08-21
500224,100120,Savings,151653,2020-07-29
500225,100121,Checking,8319,2025-10-17
500226,100122,Checking,3081,2018-03-21
500227,100122,Savings,51138,2022-07-12
500228,100123,Checking,7024,2025-11-10
500229,100123,Savings,70402,2025-09-19
500230,100123,Certificate of Deposit,110259,2023-09-21
500231,100124,Checking,9087,2022-07-08
500232,100124,Savings,95865,2021-02-11
500233,100125,Checking,8107,2023-12-23
500234,100125,Savings,55617,2022-10-29
500235,100126,Checking,6635,2025-06-28
500236,100126,Savings,33196,2025-06-15
500237,100127,Checking,1240,2024-08-01
500238,100127,Certificate of Deposit,278305,2022-12-31
500239,100128,Checking,4576,2025-12-12
500240,100129,Checking,14251,2024-06-28
500241,100129,Savings,118492,2025-07-25
500242,100129,Certificate of Deposit,350556,2025-09-25
500243,100130,Checking,6238,2025-08-11
500244,100131,Checking,4817,2019-05-22
500245,100131,Savings,65319,2018-12-12
500246,100132,Checking,7125,2020-01-19
500247,100133,Checking,1978,2025-06-30
500248,100133,Savings,162831,2025-01-19
500249,100133,Certificate of Deposit,118282,2024-08-06
500250,100134,Checking,10903,2025-02-28
500251,100135,Checking,1748,2017-12-24
500252,100135,Savings,33709,2019-06-04
500253,100135,Certificate of Deposit,113281,2025-10-03
500254,100136,Checking,7154,2026-06-06
500255,100136,Savings,150562,2026-03-13
500256,100136,Certificate of Deposit,279700,2024-02-19
500257,100137,Checking,13960,2018-04-30
500258,100138,Checking,4165,2024-07-20
500259,100138,Savings,141500,2026-03-11
500260,100139,Checking,1746,2025-08-14
500261,100139,Savings,22626,2020-04-08
500262,100140,Checking,6565,2025-06-09
500263,100141,Checking,7249,2024-10-07
500264,100141,Savings,92569,2025-05-27
500265,100142,Checking,2055,2025-07-03
500266,100143,Checking,5587,2026-04-07
500267,100143,Savings,73506,2025-09-17
500268,100143,Certificate of Deposit,207378,2018-10-05
500269,100144,Checking,1129,2025-06-15
500270,100144,Savings,90473,2022-03-30
500271,100145,Checking,2518,2020-04-05
500272,100145,Savings,33933,2021-11-09
500273,100146,Checking,7404,2020-11-11
500274,100146,Savings,273354,2020-03-23
500275,100147,Checking,12630,2025-12-22
500276,100147,Savings,28620,2026-07-10
500277,100147,Certificate of Deposit,59056,2026-05-28
500278,100148,Checking,6060,2023-07-16
500279,100148,Savings,31640,2022-03-07
500280,100148,Certificate of Deposit,165609,2024-01-30
500281,100149,Checking,12803,2019-06-03
500282,100149,Savings,87998,2018-02-26
500283,100150,Checking,6954,2023-10-13
500284,100150,Savings,133594,2024-08-12
500285,100151,Checking,3859,2025-08-16
500286,100151,Savings,183038,2025-07-02
500287,100152,Checking,8483,2024-04-05
500288,100152,Savings,34616,2024-10-10
500289,100152,Certificate of Deposit,42922,2023-06-23
500290,100153,Checking,14622,2020-09-23
500291,100154,Checking,3541,2026-02-08
500292,100154,Savings,199397,2025-05-08
500293,100155,Checking,12912,2026-03-09
500294,100155,Savings,227496,2026-04-01
500295,100156,Checking,9272,2025-10-09
500296,100156,Savings,109913,2025-10-26
500297,100157,Checking,13709,2021-01-19
500298,100157,Savings,147905,2023-09-15
500299,100158,Checking,10419,2024-02-12
500300,100159,Checking,5845,2026-05-19
500301,100159,Savings,72036,2026-06-15
500302,100160,Checking,5921,2024-09-01
500303,100161,Checking,9328,2019-10-14
500304,100161,Savings,167833,2018-10-29
500305,100162,Checking,1577,2024-12-13
500306,100162,Savings,73169,2025-12-03
500307,100163,Checking,3110,2025-06-12
500308,100163,Savings,24472,2025-07-29
500309,100163,Certificate of Deposit,51702,2025-06-23
500310,100164,Checking,10297,2025-08-23
500311,100164,Savings,71997,2020-04-21
500312,100164,Certificate of Deposit,158316,2024-05-04
500313,100165,Checking,5830,2022-12-15
500314,100165,Savings,34006,2026-04-08
500315,100166,Checking,11589,2025-11-28
500316,100166,Savings,113490,2023-05-11
500317,100167,Checking,2282,2026-07-05
500318,100167,Savings,166044,2026-05-06
500319,100168,Checking,11799,2025-12-14
500320,100168,Savings,87360,2026-06-22
500321,100169,Checking,4657,2024-10-16
500322,100169,Savings,148539,2025-11-23
500323,100170,Checking,5716,2017-12-28
500324,100171,Checking,7972,2021-08-07
500325,100171,Savings,17797,2021-07-10
500326,100171,Certificate of Deposit,116807,2024-02-10
500327,100172,Checking,8187,2023-11-16
500328,100172,Savings,121688,2026-05-28
500329,100172,Certificate of Deposit,358171,2023-02-16
500330,100173,Checking,8787,2025-10-16
500331,100173,Savings,204043,2023-05-03
500332,100174,Checking,13013,2024-02-02
500333,100174,Savings,10872,2024-08-04
500334,100175,Checking,12263,2024-08-02
500335,100175,Certificate of Deposit,148169,2024-03-16
500336,100176,Checking,6081,2026-01-06
500337,100176,Savings,248386,2026-01-04
500338,100177,Checking,7541,2019-04-27
500339,100177,Savings,22537,2022-12-24
500340,100178,Checking,14212,2025-10-17
500341,100178,Savings,186828,2025-05-29
500342,100178,Certificate of Deposit,389225,2026-03-25
500343,100179,Checking,4981,2024-02-28
500344,100180,Checking,2378,2026-03-09
500345,100180,Certificate of Deposit,104974,2026-01-14
500346,100181,Checking,6842,2020-09-09
500347,100181,Savings,50722,2022-02-16
500348,100182,Checking,14536,2026-06-26
500349,100182,Savings,134710,2024-09-10
500350,100183,Checking,13567,2026-04-28
500351,100183,Savings,121037,2026-06-26
500352,100184,Checking,9286,2024-11-27
500353,100184,Savings,101558,2025-01-31
500354,100185,Checking,2063,2020-09-29
500355,100185,Savings,230235,2022-11-06
500356,100186,Checking,1687,2026-06-18
500357,100187,Checking,14127,2021-07-16
500358,100187,Certificate of Deposit,233811,2025-04-12
500359,100188,Checking,9046,2024-10-28
500360,100188,Savings,73814,2026-02-16
500361,100189,Checking,14172,2026-01-05
500362,100189,Savings,140085,2022-12-16
500363,100189,Certificate of Deposit,159097,2025-05-25
500364,100190,Checking,4362,2024-08-25
500365,100191,Checking,4690,2025-04-21
500366,100192,Checking,4982,2021-01-18
500367,100192,Savings,69035,2025-07-21
500368,100192,Certificate of Deposit,45882,2018-04-10
500369,100193,Checking,10143,2024-06-19
500370,100193,Savings,48473,2023-04-03
500371,100193,Certificate of Deposit,75893,2024-01-07
500372,100194,Checking,12703,2022-06-09
500373,100194,Savings,42472,2022-10-13
500374,100195,Checking,5240,2021-05-21
500375,100195,Savings,188179,2025-02-05
500376,100196,Checking,11973,2026-04-15
500377,100197,Checking,3682,2024-02-19
500378,100197,Savings,87391,2024-04-04
500379,100198,Checking,13244,2026-02-06
500380,100198,Savings,150438,2025-06-09
500381,100199,Checking,8066,2020-10-01
500382,100199,Savings,106670,2020-08-10
500383,100200,Checking,11026,2026-03-12
500384,100200,Savings,77000,2026-02-24
500385,100201,Checking,8554,2025-10-09
500386,100201,Savings,27910,2022-02-13
500387,100202,Checking,6459,2023-03-05
500388,100203,Checking,8159,2018-07-31
500389,100204,Checking,9446,2025-06-16
500390,100204,Savings,73555,2025-12-07
500391,100205,Checking,9071,2026-07-12
500392,100206,Checking,14301,2026-07-11
500393,100206,Savings,106029,2025-12-11
500394,100207,Checking,8031,2026-05-03
500395,100208,Checking,1535,2025-10-02
500396,100208,Certificate of Deposit,275437,2024-10-30
500397,100209,Checking,4292,2025-01-07
500398,100210,Checking,13614,2025-01-31
500399,100210,Savings,26090,2026-06-21
500400,100211,Checking,7367,2026-02-24
500401,100212,Checking,2794,2025-09-30
500402,100212,Savings,119856,2024-04-13
500403,100212,Certificate of Deposit,372787,2023-04-15
500404,100213,Checking,5477,2020-09-29
500405,100213,Savings,199930,2024-04-20
500406,100214,Checking,3724,2019-01-01
500407,100214,Savings,217591,2025-06-22
500408,100214,Certificate of Deposit,357875,2023-12-23
500409,100215,Checking,3489,2023-12-29
500410,100215,Savings,28856,2022-09-27
500411,100216,Checking,6199,2026-05-02
500412,100216,Certificate of Deposit,120701,2025-03-17
500413,100217,Checking,4025,2022-04-21
500414,100218,Checking,13533,2025-11-11
500415,100218,Savings,161500,2026-05-08
500416,100219,Checking,9587,2022-10-26
500417,100220,Checking,1393,2026-01-13
500418,100220,Savings,221271,2024-09-15
500419,100221,Checking,11418,2026-07-06
500420,100222,Checking,11254,2025-01-29
500421,100223,Checking,7292,2018-10-10
500422,100223,Savings,24812,2023-11-26
500423,100223,Certificate of Deposit,112759,2018-08-16
500424,100224,Checking,5323,2024-11-13
500425,100224,Savings,122544,2024-12-06
500426,100224,Certificate of Deposit,372055,2024-08-15
500427,100225,Checking,13695,2024-01-26
500428,100225,Savings,42951,2024-07-07
500429,100226,Checking,2424,2025-02-26
500430,100227,Checking,13489,2026-01-01
500431,100227,Savings,178869,2025-08-17
500432,100228,Checking,11436,2024-08-16
500433,100228,Savings,17461,2025-11-26
500434,100229,Checking,7498,2026-02-09
500435,100230,Checking,8630,2024-06-08
500436,100230,Savings,87823,2022-10-17
500437,100231,Checking,5938,2025-09-28
500438,100232,Checking,6024,2019-06-13
500439,100232,Savings,22984,2025-10-19
500440,100233,Checking,4909,2025-12-23
500441,100233,Savings,58911,2017-10-16
500442,100234,Checking,6096,2025-11-27
500443,100234,Savings,186738,2021-06-05
500444,100234,Certificate of Deposit,159612,2020-11-12
500445,100235,Checking,1122,2026-05-24
500446,100235,Savings,230267,2026-01-21
500447,100236,Checking,11894,2021-05-22
500448,100236,Savings,43474,2023-01-19
500449,100237,Checking,4429,2025-04-25
500450,100237,Certificate of Deposit,144139,2021-11-05
500451,100238,Checking,935,2026-05-02
500452,100239,Checking,1930,2026-07-07
500453,100240,Checking,2866,2026-05-04
500454,100240,Savings,231240,2026-06-15
500455,100241,Checking,4479,2025-09-04
500456,100241,Savings,47133,2025-01-31
500457,100242,Checking,6772,2026-03-19
500458,100242,Savings,247848,2025-10-13
500459,100242,Certificate of Deposit,83326,2026-06-27
500460,100243,Checking,1906,2025-05-04
500461,100244,Checking,7183,2026-04-02
500462,100244,Savings,116572,2026-04-17
500463,100245,Checking,7641,2022-07-29
500464,100245,Savings,159008,2020-01-05
500465,100246,Checking,12275,2024-04-25
500466,100246,Certificate of Deposit,197272,2018-03-03
500467,100247,Checking,6880,2024-03-06
500468,100247,Savings,36609,2021-10-16
500469,100248,Checking,11973,2023-04-11
500470,100248,Savings,267965,2021-01-23
500471,100249,Checking,539,2020-09-01
500472,100249,Savings,92974,2020-02-20
500473,100249,Certificate of Deposit,443046,2025-04-21
500474,100250,Checking,11122,2026-02-03
500475,100250,Savings,142367,2026-04-26
500476,100251,Checking,13346,2025-12-27
500477,100251,Savings,20100,2026-01-04
500478,100252,Checking,5785,2025-04-13
500479,100253,Checking,3564,2024-09-28
500480,100253,Savings,36182,2024-10-30
500481,100254,Checking,8005,2020-07-26
500482,100254,Certificate of Deposit,252914,2019-09-30
500483,100255,Checking,8678,2022-12-16
500484,100256,Checking,10413,2026-07-16
500485,100256,Savings,157813,2026-03-27
500486,100256,Certificate of Deposit,111409,2024-09-14
500487,100257,Checking,1986,2025-07-15
500488,100258,Checking,7088,2025-10-28
500489,100258,Savings,117951,2026-03-15
500490,100259,Checking,2524,2020-02-15
500491,100259,Savings,19961,2018-09-30
500492,100260,Checking,4361,2026-06-09
500493,100261,Checking,14398,2022-01-05
500494,100261,Savings,44447,2023-01-10
500495,100262,Checking,10968,2023-12-16
500496,100262,Savings,240584,2025-08-21
500497,100262,Certificate of Deposit,506366,2024-06-15
500498,100263,Checking,6302,2026-01-28
500499,100263,Savings,139760,2024-01-05
500500,100264,Checking,4322,2026-05-20
500501,100264,Savings,107043,2023-09-02
500502,100265,Checking,2125,2025-01-31
500503,100265,Savings,24281,2025-05-12
500504,100266,Checking,6483,2024-04-14
500505,100266,Savings,21908,2026-01-11
500506,100267,Checking,6588,2026-04-04
500507,100267,Savings,19847,2026-01-23
500508,100268,Checking,2654,2024-12-20
500509,100268,Savings,231901,2021-09-24
500510,100269,Checking,10102,2026-06-07
500511,100269,Savings,185096,2022-05-28
500512,100270,Checking,11691,2018-12-05
500513,100270,Savings,33004,2020-12-29
500514,100271,Checking,5068,2026-07-16
500515,100271,Savings,184102,2026-03-21
500516,100272,Checking,9681,2024-01-11
500517,100272,Savings,13592,2023-12-01
500518,100273,Checking,13910,2025-06-16
500519,100273,Savings,124497,2018-01-17
500520,100274,Checking,12934,2025-05-29
500521,100274,Savings,77545,2026-03-25
500522,100275,Checking,14976,2021-11-05
500523,100275,Savings,77012,2022-04-30
500524,100276,Checking,10080,2023-12-31
500525,100276,Savings,208306,2023-01-22
500526,100277,Checking,7703,2025-08-22
500527,100278,Checking,12093,2023-05-05
500528,100279,Checking,3447,2026-07-14
500529,100280,Checking,950,2025-12-17
500530,100280,Savings,167305,2025-09-08
500531,100281,Checking,13869,2023-10-29
500532,100281,Certificate of Deposit,107194,2025-04-18
500533,100282,Checking,9789,2022-01-10
500534,100282,Savings,111694,2022-04-02
500535,100283,Checking,5512,2020-04-14
500536,100283,Savings,102856,2024-12-01
500537,100284,Checking,4391,2017-07-11
500538,100284,Savings,100117,2019-10-11
500539,100284,Certificate of Deposit,91172,2017-12-17
500540,100285,Checking,2902,2018-10-18
500541,100286,Checking,6597,2023-04-25
500542,100286,Savings,238953,2023-04-10
500543,100287,Checking,6791,2025-01-25
500544,100287,Certificate of Deposit,244962,2025-05-05
500545,100288,Checking,8211,2026-02-27
500546,100288,Savings,190258,2026-05-09
500547,100288,Certificate of Deposit,252229,2025-11-28
500548,100289,Checking,4767,2023-04-15
500549,100289,Savings,137915,2026-05-21
500550,100290,Checking,6413,2025-04-08
500551,100290,Savings,123178,2025-07-01
500552,100291,Checking,7434,2025-07-04
500553,100292,Checking,10837,2026-07-02
500554,100292,Savings,158051,2020-11-22
500555,100292,Certificate of Deposit,202323,2022-05-02
500556,100293,Checking,11040,2025-10-31
500557,100293,Savings,86161,2025-09-24
500558,100294,Checking,1615,2020-01-28
500559,100294,Savings,61870,2022-01-10
500560,100295,Checking,14698,2025-01-03
500561,100295,Savings,153190,2021-07-25
500562,100296,Checking,14933,2025-01-25
500563,100297,Checking,2833,2026-06-04
500564,100297,Savings,24206,2026-04-21
500565,100298,Checking,5457,2024-04-16
500566,100298,Savings,197533,2024-01-03
500567,100299,Checking,2566,2026-01-31
500568,100299,Savings,91404,2026-06-22
500569,100300,Checking,1504,2025-03-14
500570,100300,Savings,98969,2024-09-22
500571,100301,Checking,6541,2023-05-12
500572,100302,Checking,1006,2022-11-27
500573,100302,Savings,126692,2023-11-12
500574,100302,Certificate of Deposit,388441,2026-04-21
500575,100303,Checking,5507,2024-09-10
500576,100304,Checking,14610,2025-12-05
500577,100304,Savings,134850,2025-09-17
500578,100305,Checking,14447,2024-06-06
500579,100306,Checking,3033,2024-05-03
500580,100306,Savings,48334,2024-07-13
500581,100307,Checking,1080,2026-06-14
500582,100307,Savings,11385,2026-06-25
500583,100308,Checking,514,2021-10-01
500584,100308,Savings,33800,2019-11-04
500585,100309,Checking,7371,2024-09-22
500586,100309,Savings,53543,2022-11-21
500587,100310,Checking,7473,2025-10-31
500588,100310,Certificate of Deposit,190201,2025-10-05
500589,100311,Checking,2902,2026-03-06
500590,100311,Savings,30642,2026-05-03
500591,100312,Checking,6344,2024-06-03
500592,100312,Savings,12848,2026-02-10
500593,100313,Checking,9196,2025-07-13
500594,100313,Savings,130132,2024-06-24
500595,100314,Checking,1545,2025-06-16
500596,100315,Checking,12982,2023-01-23
500597,100315,Savings,111883,2021-06-24
500598,100316,Checking,3160,2023-03-06
500599,100316,Savings,108837,2021-04-28
500600,100316,Certificate of Deposit,64988,2024-08-08
500601,100317,Checking,12604,2025-09-06
500602,100318,Checking,10687,2023-04-25
500603,100318,Savings,104472,2019-02-11
500604,100318,Certificate of Deposit,153725,2020-11-23
500605,100319,Checking,5042,2024-02-28
500606,100320,Checking,14521,2025-08-08
500607,100321,Checking,6518,2021-11-29
500608,100321,Savings,173373,2025-08-17
500609,100322,Checking,10882,2026-07-12
500610,100322,Savings,25468,2026-07-05
500611,100322,Certificate of Deposit,99945,2026-05-21
500612,100323,Checking,5580,2024-11-02
500613,100323,Savings,85663,2023-01-02
500614,100324,Checking,1791,2024-11-13
500615,100324,Savings,83963,2025-08-03
500616,100324,Certificate of Deposit,480301,2025-04-04
500617,100325,Checking,1474,2025-02-28
500618,100325,Savings,255805,2026-05-01
500619,100326,Checking,9761,2020-09-27
500620,100326,Savings,146916,2019-12-04
500621,100326,Certificate of Deposit,117356,2023-05-23
500622,100327,Checking,5986,2017-08-05
500623,100327,Savings,207451,2025-03-13
500624,100328,Checking,11922,2024-10-07
500625,100329,Checking,13138,2025-08-13
500626,100329,Certificate of Deposit,243301,2026-03-25
500627,100330,Checking,13110,2023-08-11
500628,100331,Checking,6305,2024-11-20
500629,100331,Savings,49237,2023-12-08
500630,100331,Certificate of Deposit,104030,2023-02-19
500631,100332,Checking,13317,2023-10-04
500632,100332,Savings,117877,2023-01-15
500633,100333,Checking,9721,2024-10-06
500634,100333,Savings,143714,2025-10-22
500635,100334,Checking,1860,2022-06-20
500636,100334,Savings,73494,2020-02-29
500637,100335,Checking,10577,2020-01-25
500638,100335,Savings,47849,2018-11-10
500639,100336,Checking,12425,2026-06-02
500640,100336,Savings,64559,2026-06-17
500641,100337,Checking,9100,2026-04-22
500642,100337,Savings,75918,2026-04-09
500643,100338,Checking,8852,2025-09-25
500644,100339,Checking,13509,2025-08-27
500645,100339,Savings,101448,2026-05-08
500646,100339,Certificate of Deposit,182311,2026-07-11
500647,100340,Checking,5209,2021-03-24
500648,100340,Savings,142161,2018-09-17
500649,100341,Checking,8480,2025-09-19
500650,100342,Checking,3400,2022-05-28
500651,100343,Checking,13586,2021-05-19
500652,100344,Checking,9352,2022-05-25
500653,100344,Savings,46521,2025-06-17
500654,100345,Checking,5147,2021-11-25
500655,100345,Certificate of Deposit,192221,2024-06-27
500656,100346,Checking,5106,2025-04-02
500657,100346,Savings,135208,2019-05-20
500658,100347,Checking,3518,2025-09-08
500659,100347,Savings,57488,2019-11-19
500660,100348,Checking,13766,2026-06-28
500661,100348,Savings,41266,2026-06-03
500662,100349,Checking,12401,2017-10-28
500663,100349,Certificate of Deposit,52924,2024-09-04
500664,100350,Checking,6892,2025-01-23
500665,100351,Checking,1701,2025-01-30
500666,100351,Savings,16764,2025-09-13
500667,100352,Checking,10778,2023-11-23
500668,100352,Savings,242951,2026-04-08
500669,100353,Checking,7905,2021-03-01
500670,100354,Checking,4055,2019-01-27
500671,100355,Checking,8947,2019-05-24
500672,100356,Checking,3663,2022-09-18
500673,100356,Savings,63739,2021-11-04
500674,100357,Checking,12860,2022-07-14
500675,100357,Savings,77048,2025-06-15
500676,100358,Checking,13763,2025-05-25
